"Total of %d layout designs were successfully deleted.","Total of %d layout designs were successfully deleted."
"Total of %d layout designs were successfully updated.","Total of %d layout designs were successfully updated."
"Total of %d posts were successfully deleted.","Total of %d posts were successfully deleted."
"Total of %d posts were successfully updated.","Total of %d posts were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"Total of %d tags were successfully deleted.","Total of %d tags were successfully deleted."
"Total of %d tags were successfully updated.","Total of %d tags were successfully updated."
"Total of %d taxonomies were successfully deleted.","Total of %d taxonomies were successfully deleted."
"Total of %d taxonomies were successfully updated.","Total of %d taxonomies were successfully updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find an attribute to delete.","Unable to find an attribute to delete."
"Unable to find blog setting to save.","Unable to find blog setting to save."
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find filter to save.","Unable to find filter to save."
"Unable to find layout design to save.","Unable to find layout design to save."
"Unable to find post to save.","Unable to find post to save."
"Unable to find tag to save.","Unable to find tag to save."
"Unable to find taxonomy to save.","Unable to find taxonomy to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"View {#name}","View {#name}"
"WYSIWYG Editor","WYSIWYG Editor"
"Website","Website"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for posts.","You have submitted no comments for posts."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"
"[GLOBAL]","[GLOBAL]"
"[STORE VIEW]","[STORE VIEW]"
"[WEBSITE]","[WEBSITE]"